Target,BodyComponent,StructureComponent,Structure,,,
Temperament,SpeakerAura,Delivery,,,,
Template,ContentIntroduction,OpeningComponent,StructureComponent,Structure,,
Tempo,Paralanguage,NonVerbalCommunication,Delivery,,,
Tension,SpeakerEmotion,Delivery,,,,
Text,VisualAidArtefact,VisualAid,,,,
Thanking,ClosingComponent,StructureComponent,Structure,,,
Thumb,BodyLanguageSignal,BodyLangugebodylanguage,NonVerbalCommunication,Delivery,,
Title,Text,VisualAidArtefact,VisualAid,,,
Tone,Paralanguage,NonVerbalCommunication,Delivery,,,
Topic,BodyComponent,StructureComponent,Structure,,,
Touch,NonVerbalCommunication,Delivery,,,,
Transition,StructureComponent,Structure,,,,
TransitionComponent,StructureComponent,Structure,,,,
Umming,Fillers,Paralanguage,NonVerbalCommunication,Delivery,,
Understandability,PresentationAttribute,,,,,
Upright,Posture,BodyPosition,BodyLangugebodylanguage,NonVerbalCommunication,Delivery,
VLCPlayer,Video,Film,MovingImage,Illustration,VisualAidArtefact,VisualAid
VR,VisualAidDevice,VisualAid,,,,
VenuePreparation,Preparation,Delivery,,,,
VerbalCommunication,Delivery,,,,,
VerbalSignpost,TransitionComponent,StructureComponent,Structure,,,
Video,Film,MovingImage,Illustration,VisualAidArtefact,VisualAid,
VirtualReality,VisualAidDevice,VisualAid,,,,
VisualAid,,,,,,
VisualAidArtefact,VisualAid,,,,,
VisualAidDevice,VisualAid,,,,,
VisualAids,VisualAid,,,,,
Visuals,VisualAidArtefact,VisualAid,,,,
Voice,Paralanguage,NonVerbalCommunication,Delivery,,,
Volume,Tone,Paralanguage,NonVerbalCommunication,Delivery,,
Walk,BodyPosition,BodyLangugebodylanguage,NonVerbalCommunication,Delivery,,
Walking,BodyPosition,BodyLangugebodylanguage,NonVerbalCommunication,Delivery,,
Weeping,FacialExpression,Gesture,BodyMotion,BodyLangugebodylanguage,NonVerbalCommunication,Delivery
Weight,SpeakerAppearance,BodyPosition,BodyLangugebodylanguage,NonVerbalCommunication,Delivery,
WellDefined,Coherence,PresentationAttribute,,,,
WhiteBoard,Board,VisualAidDevice,VisualAid,,,
Workstation,Computer,VisualAidDevice,VisualAid,,,
WritingSpeech,ContentPreparation,Preparation,Delivery,,,
kinesics,NonVerbalCommunication,Delivery,,,,
